Sr. No.,Work category,WORK,State,IDA,Hon'ble Members of Parliament,Constituency,Work description,Recommended date,RECOMMENDED AMOUNT   ( ₹ ),Sanction Date,work_id,work_type,recommended_amount,recommended_date,sanction_date,sanction_amount,Work Status,sanction_delay_days,is_sanctioned,baseline_median,baseline_std,baseline_level,cost_zscore,is_sanctioned_flag,amount_disbursed,is_completed,image_missing_flag,stuck_days,delay_feature,disbursement_gap_pct,vendor_total_works,vendor_data_available,vendor_concentration_score,total_disbursed_so_far,spent_pct_of_recommended,funds_exhausted_not_completed_flag,repetition_count,fraud_risk_score,inefficiency_score,fraud_risk_tier,inefficiency_tier,fraud_reason,inefficiency_reason,data_confidence,compliance_flags,compliance_flag_count,needs_fraud_review
2415,Normal/Others,"WS/MP18253/2024-2025/140133-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),BAPI HALDAR,MATHURAPUR(SC),CONSTRUCTION OF CC ROAD WITH PAILING FROM DAKSHIN HARINDANGA BLACK TOP ROAD  TO MANNAN MOLLA  HOUSE VIA KHALID REJOYAN HOUSE,15-Sep-2024,499758,10-Dec-2024,WS/MP18253/2024-2025/140133,"Construction of roads, link roads, pathways or any other road with or without drainage system",499758.0,2024-09-15,2024-12-10,499758.0,Physical Inspection,86.0,True,349998.0,455611.10342278035,state+category,0.3287013834275051,1,497613.0,True,0,0.0,86.0,0.4292077365444875,0.0,0,1.0986122886681098,,0.0,0,1,35.1,0.0,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
2416,Normal/Others,"WS/MP18253/2024-2025/140134-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),BAPI HALDAR,MATHURAPUR(SC),CONSTRUCTION OF CC ROAD FROM HALDER PARA MOSJID TO SHIULIPARA BATHING GHAT,15-Sep-2024,249969,10-Dec-2024,WS/MP18253/2024-2025/140134,"Construction of roads, link roads, pathways or any other road with or without drainage system",249969.0,2024-09-15,2024-12-10,249969.0,Physical Inspection,86.0,True,349998.0,455611.10342278035,state+category,-0.2195490830854027,1,249484.0,True,0,0.0,86.0,0.19402405898331393,0.0,0,1.0986122886681098,,0.0,0,1,23.4,0.0,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
2417,Normal/Others,"WS/MP18253/2024-2025/140135-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),BAPI HALDAR,MATHURAPUR(SC),CONSTRUCTION OF CC ROAD FROM SAJAHAN SHOP TO KOLONI MOSJID,15-Sep-2024,249909,10-Dec-2024,WS/MP18253/2024-2025/140135,"Construction of roads, link roads, pathways or any other road with or without drainage system",249909.0,2024-09-15,2024-12-10,249909.0,Physical Inspection,86.0,True,349998.0,455611.10342278035,state+category,-0.21968077434478872,1,249664.0,True,0,0.0,86.0,0.09803568498933611,0.0,0,1.0986122886681098,,0.0,0,1,16.1,0.0,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
2418,Normal/Others,WS/MP719/2024-2025/140136-Construction of community centers and community halls,Rajasthan,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,"Construction of public open community hall in Ruvaldada Shiv chowk in village Govaliya, Gram panchayat Tilora",10-Sep-2024,490801,28-Nov-2024,WS/MP719/2024-2025/140136,Construction of community centers and community halls,490801.0,2024-09-10,2024-11-28,490801.0,Physical Inspection,79.0,True,981300.0,824932.5892412575,state+category,-0.5945928266104056,1,490801.0,True,0,0.0,79.0,0.0,7.0,1,2.0794415416798357,176184.0,35.897237373191984,0,1,39.1,0.0,Low,Low,No strong fraud signal,Completed — no execution backlog,100,,0,False
2419,Normal/Others,"WS/MP18236/2025-2026/140139-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),CHHOTELAL,ROBERTSGANJ(SC),Construction of culvert in the middle of village Naudiha Block Nagwa,10-Sep-2024,1000000,02-Apr-2025,WS/MP18236/2025-2026/140139,"Construction of roads, link roads, pathways or any other road with or without drainage system",1000000.0,2024-09-10,2025-04-02,1000000.0,Vendor Identification,204.0,True,896912.0,728307.1130346985,state+category,0.14154468376733897,1,,False,0,508.0,204.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,1.1,34.8,Low,Low,No payment record yet — vendor pattern unverified,"Sanctioned but stuck in execution for 508 days (>1 year, no completion)",33,,0,False
2420,Normal/Others,WS/MP18236/2024-2025/140140-Construction of rooms and halls in school and colleges,Uttar Pradesh,SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),CHHOTELAL,ROBERTSGANJ(SC),"Construction of a room in Rana Pratap Small Secondary School Lohara Sukrit Sonbhadra, Block Karma",10-Sep-2024,700000,20-Mar-2025,WS/MP18236/2024-2025/140140,Construction of rooms and halls in school and colleges,700000.0,2024-09-10,2025-03-20,700000.0,Work Completed,191.0,True,859204.5,523094.71566364367,state+category,-0.3043511915390299,1,700000.0,True,0,0.0,191.0,0.0,1.0,1,0.6931471805599453,182650.0,26.092857142857145,0,1,38.8,0.0,Low,Low,No strong fraud signal,Completed — no execution backlog,100,,0,False
2421,Normal/Others,WS/MP405/2024-2025/140141-Improvement of electricity distribution infrastructure,Andhra Pradesh,KRISHNA(DISTRICT COLLECTOR KRISHNA_IDA),Balashowry Vallabbhaneni,MACHILIPATNAM,mprovement of electrical distribution infrastructure at Ullipalem of Koduru Mandal in Krishna District,10-Sep-2024,297000,20-Jan-2025,WS/MP405/2024-2025/140141,Improvement of electricity distribution infrastructure,297000.0,2024-09-10,2025-01-20,297000.0,Sanction,132.0,True,159048.0,245326.0122934628,category-only,0.562321128160595,1,,False,0,580.0,132.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,3.4,34.6,Low,Low,No payment record yet — vendor pattern unverified,"Sanctioned but stuck in execution for 580 days (>1 year, no completion)",33,,0,False
2422,Normal/Others,WS/MP405/2025-2026/140142-Improvement of electricity distribution infrastructure,Andhra Pradesh,KRISHNA(DISTRICT COLLECTOR KRISHNA_IDA),Balashowry Vallabbhaneni,MACHILIPATNAM,mprovement of electrical distribution infrastructure at Pedayadara of Machilipatnam Mandal in Krishna District,10-Sep-2024,381000,06-Feb-2026,WS/MP405/2025-2026/140142,Improvement of electricity distribution infrastructure,381000.0,2024-09-10,2026-02-06,381000.0,Vendor Identification,514.0,True,159048.0,245326.0122934628,category-only,0.9047226501790506,1,,False,0,198.0,514.0,0.0,1.0,1,0.6931471805599453,380097.0,99.76299212598425,1,1,68.5,81.9,Medium,High,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case),Sanctioned but stuck in execution for 198 days,67,"100% of funds already spent but work not completed (matches confirmed CAG-audited waste pattern — Report 22/2025, Para 3.1)",1,True
2423,Normal/Others,"WS/MP405/2024-2025/140143-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",Andhra Pradesh,KRISHNA(DISTRICT COLLECTOR KRISHNA_IDA),Balashowry Vallabbhaneni,MACHILIPATNAM,Construction of waiting shelter for patients at Primary Health Centre of China Pandraka of Kruthivennu Mandal,10-Sep-2024,499986,20-Jan-2025,WS/MP405/2024-2025/140143,"Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",499986.0,2024-09-10,2025-01-20,499986.0,Physical Inspection,132.0,True,999505.0,5663639.1628571255,category-only,-0.08819753265284093,1,,False,0,580.0,132.0,0.0,1.0,1,0.6931471805599453,499986.0,100.0,1,1,61.1,34.6,Medium,Low,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case),"Sanctioned but stuck in execution for 580 days (>1 year, no completion)",67,"100% of funds already spent but work not completed (matches confirmed CAG-audited waste pattern — Report 22/2025, Para 3.1)",1,True
2424,Normal/Others,WS/MP405/2025-2026/140144-Purchase of hospital equipment,Andhra Pradesh,KRISHNA(DISTRICT COLLECTOR KRISHNA_IDA),Balashowry Vallabbhaneni,MACHILIPATNAM,"Purchase of Real time micro PCR system for cancer van at GGH, Machilipatnam",10-Sep-2024,896000,11-Dec-2025,WS/MP405/2025-2026/140144,Purchase of hospital equipment,896000.0,2024-09-10,2025-12-11,896000.0,Vendor Identification,457.0,True,236003.0,269686.93811227113,category-only,2.447270915750625,1,,False,0,255.0,457.0,0.0,1.0,1,0.6931471805599453,896000.0,100.0,1,1,77.4,76.6,High,High,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case),Sanctioned but stuck in execution for 255 days,67,"100% of funds already spent but work not completed (matches confirmed CAG-audited waste pattern — Report 22/2025, Para 3.1)",1,True
2425,Normal/Others,"WS/MP405/2024-2025/140145-Construction of roads, link roads, pathways or any other road with or without drainage system",Andhra Pradesh,KRISHNA(DISTRICT COLLECTOR KRISHNA_IDA),Balashowry Vallabbhaneni,MACHILIPATNAM,"Providing CC road from Ramalayam to Chukka Srinivasa Rao house in Kanigirilanka of Iluru GP, Thotlavallur Mandal in Krishna District",10-Sep-2024,1500000,22-Oct-2024,WS/MP405/2024-2025/140145,"Construction of roads, link roads, pathways or any other road with or without drainage system",1500000.0,2024-09-10,2024-10-22,1500000.0,Physical Inspection,42.0,True,495000.0,255131.06218145936,state+category,3.939151867306553,1,,False,0,670.0,42.0,0.0,1.0,1,0.6931471805599453,1158273.0,77.21820000000001,0,1,68.4,42.0,Medium,Medium,"Cost is unusually higher than comparable works (state+category baseline, z=3.9)","Sanctioned but stuck in execution for 670 days (>1 year, no completion)",67,Cost more than 3 standard deviations from comparable works,1,True
2426,Normal/Others,WS/MP517/2024-2025/140151-Lighting of public spaces,Uttar Pradesh,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Rajkumar Chahar,FATEHPUR SIKRI,"Pl see my letter no 7897 dated 27-8-2024 me prastavit high mast light install in block Barauli Ahir as par sr no 1,2,3,4,5,6,7,8,9,10",10-Sep-2024,2488890,21-Oct-2024,WS/MP517/2024-2025/140151,Lighting of public spaces,2488890.0,2024-09-10,2024-10-21,2488890.0,Physical Inspection,41.0,True,206970.0,1322219.8564870562,state+category,1.7258249366052678,1,2488890.0,True,0,0.0,41.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,11.3,0.0,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
2427,Normal/Others,WS/MP517/2024-2025/140152-Lighting of public spaces,Uttar Pradesh,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Rajkumar Chahar,FATEHPUR SIKRI,"Pl see my letter no 7895 dated 27-8-2024 me prastavit high mast light install in block Barauli Ahir as par sr no 21,22,25,26,30,31,32,33,34,35",10-Sep-2024,2489182,21-Oct-2024,WS/MP517/2024-2025/140152,Lighting of public spaces,2489182.0,2024-09-10,2024-10-21,2489182.0,Physical Inspection,41.0,True,206970.0,1322219.8564870562,state+category,1.726045777336533,1,2489182.0,True,0,0.0,41.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,11.3,0.0,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
2428,Normal/Others,WS/MP517/2024-2025/140153-Lighting of public spaces,Uttar Pradesh,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Rajkumar Chahar,FATEHPUR SIKRI,"Pl see my letter no 7895 dated 27-8-2024 me prastavit high mast light install in block Barauli Ahir as par sr no 36,37,38,39,40,41,42,53,54,55",10-Sep-2024,2488890,21-Oct-2024,WS/MP517/2024-2025/140153,Lighting of public spaces,2488890.0,2024-09-10,2024-10-21,2488890.0,Physical Inspection,41.0,True,206970.0,1322219.8564870562,state+category,1.7258249366052678,1,2488890.0,True,0,0.0,41.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,11.3,0.0,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
2429,Normal/Others,WS/MP719/2024-2025/140154-Construction of community centers and community halls,Rajasthan,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,Construction of Comunity Hall neat Teja place kadel,10-Sep-2024,299612,28-Nov-2024,WS/MP719/2024-2025/140154,Construction of community centers and community halls,299612.0,2024-09-10,2024-11-28,299612.0,Work partially Completed,79.0,True,981300.0,824932.5892412575,state+category,-0.8263560064065252,1,,False,0,633.0,79.0,0.0,3.0,1,1.3862943611198906,219309.0,73.19766898522089,0,1,20.6,36.6,Low,Low,No strong fraud signal,"Sanctioned but stuck in execution for 633 days (>1 year, no completion)",67,,0,False
2430,Normal/Others,WS/MP719/2024-2025/140155-Construction of community centers and community halls,Rajasthan,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,Construction of Teen shade and ladder in village rewat,10-Sep-2024,200000,07-Dec-2024,WS/MP719/2024-2025/140155,Construction of community centers and community halls,200000.0,2024-09-10,2024-12-07,200000.0,Work partially Completed,88.0,True,981300.0,824932.5892412575,state+category,-0.9471076912097882,1,,False,0,624.0,88.0,0.0,6.0,1,1.9459101490553132,194388.0,97.194,1,1,77.1,30.1,High,Low,97% of funds spent but work not completed (same pattern as a confirmed CAG-audited case),"Sanctioned but stuck in execution for 624 days (>1 year, no completion)",67,"97% of funds already spent but work not completed (matches confirmed CAG-audited waste pattern — Report 22/2025, Para 3.1)",1,True
2431,Normal/Others,WS/MP517/2024-2025/140156-Lighting of public spaces,Uttar Pradesh,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Rajkumar Chahar,FATEHPUR SIKRI,"Pl see my letter no 7895 dated 27-8-2024 me prastavit high mast light install in block Akola as par sr no 11,12,13,15,23,51,52,58,59",10-Sep-2024,2240001,21-Oct-2024,WS/MP517/2024-2025/140156,Lighting of public spaces,2240001.0,2024-09-10,2024-10-21,2240001.0,Physical Inspection,41.0,True,206970.0,1322219.8564870562,state+category,1.537589221660507,1,2240001.0,True,0,0.0,41.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,10.6,0.0,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
2432,Normal/Others,WS/MP517/2024-2025/140157-Lighting of public spaces,Uttar Pradesh,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Rajkumar Chahar,FATEHPUR SIKRI,"Pl see my letter no 7895 dated 27-8-2024 me prastavit high mast light install in block Bichpuri as par sr no 14,16,17,18,19,20,24,27,28,29",10-Sep-2024,2489037,21-Oct-2024,WS/MP517/2024-2025/140157,Lighting of public spaces,2489037.0,2024-09-10,2024-10-21,2489037.0,Physical Inspection,41.0,True,206970.0,1322219.8564870562,state+category,1.7259361132747746,1,2489037.0,True,0,0.0,41.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,11.3,0.0,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
2433,Normal/Others,WS/MP517/2024-2025/140158-Lighting of public spaces,Uttar Pradesh,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Rajkumar Chahar,FATEHPUR SIKRI,"Pl see my letter no 7895 dated 27-8-2024 me prastavit high mast light install in block Bichpuri as par sr no 43,44,45,46,47,48,49,50,56,57",10-Sep-2024,2239343,21-Oct-2024,WS/MP517/2024-2025/140158,Lighting of public spaces,2239343.0,2024-09-10,2024-10-21,2239343.0,Physical Inspection,41.0,True,206970.0,1322219.8564870562,state+category,1.537091573711286,1,2239343.0,True,0,0.0,41.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,10.6,0.0,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
2434,Normal/Others,WS/MP517/2024-2025/140159-Lighting of public spaces,Uttar Pradesh,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Rajkumar Chahar,FATEHPUR SIKRI,Pl see my letter no 7895 dated 27-8-2024 me prastavit high mast light install in block Bichpuri as par sr no 60,10-Sep-2024,248596,21-Oct-2024,WS/MP517/2024-2025/140159,Lighting of public spaces,248596.0,2024-09-10,2024-10-21,248596.0,Physical Inspection,41.0,True,206970.0,1322219.8564870562,state+category,0.03148190506728144,1,248596.0,True,0,0.0,41.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.0,0.0,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
2435,Normal/Others,WS/MP479/2024-2025/140160-Street lights,West Bengal,BANKURA(DISTRICT MAGISTRATE BANKURA_IDA),Saumitra khan,BISHNUPUR(SC),"Installation of Solar LED Street Light with Pole (Pole 6mtr, 18Watt, Battery 12.8V, 24 AH Lithium Ferro Battery, Module 75Wp Solar Panel) Total 25 Nos. x 38000/ each",10-Sep-2024,850498,13-Dec-2024,WS/MP479/2024-2025/140160,Street lights,850498.0,2024-09-10,2024-12-13,850498.0,Physical Inspection,94.0,True,350000.0,831662.5182438025,state+category,0.6018042042544938,1,,False,0,618.0,94.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,3.6,23.1,Low,Low,No payment record yet — vendor pattern unverified,"Sanctioned but stuck in execution for 618 days (>1 year, no completion)",33,,0,False
2436,Normal/Others,WS/MP479/2024-2025/140161-Lighting of public spaces,West Bengal,BANKURA(DISTRICT MAGISTRATE BANKURA_IDA),Saumitra khan,BISHNUPUR(SC),"Installation of Solar LED Light with Pole (Lights 24Watt x 2, Pole 7mtr. Octagonal with Manual Ladder, Battery 12.8V,30A H Lithium ferro, Module 150Wp Solar Panel) Total 4 Nos. X 65000/ each",10-Sep-2024,259864,13-Dec-2024,WS/MP479/2024-2025/140161,Lighting of public spaces,259864.0,2024-09-10,2024-12-13,259864.0,Physical Inspection,94.0,True,140538.0,508931.88744545815,state+category,0.23446359511671996,1,,False,0,618.0,94.0,0.0,0.0,0,1.0986122886681098,,0.0,0,2,1.7,23.1,Low,Low,No payment record yet — vendor pattern unverified,"Sanctioned but stuck in execution for 618 days (>1 year, no completion)",33,,0,False
2437,Normal/Others,WS/MP479/2024-2025/140162-Street lights,West Bengal,BANKURA(DISTRICT MAGISTRATE BANKURA_IDA),Saumitra khan,BISHNUPUR(SC),"Installation of Solar LED Street Light with Pole (Pole 6mtr, 18Watt, Battery 12.8V, 24 AH Lithium Ferro Battery, Module 75Wp Solar Panel) Total 36 Nos. x 38000/ each",10-Sep-2024,1224105,13-Dec-2024,WS/MP479/2024-2025/140162,Street lights,1224105.0,2024-09-10,2024-12-13,1224105.0,Physical Inspection,94.0,True,350000.0,831662.5182438025,state+category,1.0510332987541895,1,1224105.0,True,0,0.0,94.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,7.8,0.0,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
2438,Normal/Others,WS/MP479/2024-2025/140163-Street lights,West Bengal,BANKURA(DISTRICT MAGISTRATE BANKURA_IDA),Saumitra khan,BISHNUPUR(SC),"Installation of Solar LED Street Light with Pole (Pole 6mtr, 18Watt, Battery 12.8V, 24 AH Lithium Ferro Battery, Module 75Wp Solar Panel) Total 22 Nos. x 38000/ each",10-Sep-2024,748139,13-Dec-2024,WS/MP479/2024-2025/140163,Street lights,748139.0,2024-09-10,2024-12-13,748139.0,Physical Inspection,94.0,True,350000.0,831662.5182438025,state+category,0.4787266364254801,1,748139.0,True,0,0.0,94.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,3.0,0.0,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
2439,Normal/Others,WS/MP479/2024-2025/140164-Street lights,West Bengal,BANKURA(DISTRICT MAGISTRATE BANKURA_IDA),Saumitra khan,BISHNUPUR(SC),"Installation of Solar LED Street Light with Pole (Pole 6mtr, 18Watt, Battery 12.8V, 24 AH Lithium Ferro Battery, Module 75Wp Solar Panel) Total 49 Nos. x 38000/ each",10-Sep-2024,1663643,13-Dec-2024,WS/MP479/2024-2025/140164,Street lights,1663643.0,2024-09-10,2024-12-13,1663643.0,Physical Inspection,94.0,True,350000.0,831662.5182438025,state+category,1.5795385401929398,1,1663643.0,True,0,0.0,94.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,10.7,0.0,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
2440,Normal/Others,WS/MP479/2024-2025/140165-Lighting of public spaces,West Bengal,BANKURA(DISTRICT MAGISTRATE BANKURA_IDA),Saumitra khan,BISHNUPUR(SC),"Installation of Solar LED Light with Pole (Lights 24Watt x 2, Pole 7mtr. Octagonal with Manual Ladder, Battery 12.8V,30A H Lithium ferro, Module 150Wp Solar Panel) Total 2 Nos. X 65000/ each",10-Sep-2024,129932,13-Dec-2024,WS/MP479/2024-2025/140165,Lighting of public spaces,129932.0,2024-09-10,2024-12-13,129932.0,Physical Inspection,94.0,True,140538.0,508931.88744545815,state+category,-0.02083972386410281,1,,False,0,618.0,94.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.1,23.1,Low,Low,No payment record yet — vendor pattern unverified,"Sanctioned but stuck in execution for 618 days (>1 year, no completion)",33,,0,False
2441,Normal/Others,WS/MP479/2024-2025/140168-Lighting of public spaces,West Bengal,BANKURA(DISTRICT MAGISTRATE BANKURA_IDA),Saumitra khan,BISHNUPUR(SC),"Installation of Solar LED Light with Pole (Lights 24Watt x 2, Pole 7mtr. Octagonal with Manual Ladder, Battery 12.8V,30A H Lithium ferro, Module 150Wp Solar Panel) Total 4 Nos. X 65000/ each",10-Sep-2024,259864,13-Dec-2024,WS/MP479/2024-2025/140168,Lighting of public spaces,259864.0,2024-09-10,2024-12-13,259864.0,Physical Inspection,94.0,True,140538.0,508931.88744545815,state+category,0.23446359511671996,1,,False,0,618.0,94.0,0.0,0.0,0,1.0986122886681098,,0.0,0,2,1.7,23.1,Low,Low,No payment record yet — vendor pattern unverified,"Sanctioned but stuck in execution for 618 days (>1 year, no completion)",33,,0,False
2442,Normal/Others,WS/MP18161/2024-2025/140180-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,Rajasthan,BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA),SANJNA JATAV,BHARATPUR(SC),shamshan ghat me shavdah grah v anya vikash karya gram baghai work agency gp jatoli Rathman,10-Sep-2024,600000,07-Jan-2025,WS/MP18161/2024-2025/140180,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,600000.0,2024-09-10,2025-01-07,600000.0,Work Completed,119.0,True,600000.0,180554.46854778042,state+category,0.0,1,597520.0,True,0,0.0,119.0,0.41333333333333333,5.0,1,1.791759469228055,170520.0,28.42,0,1,51.9,0.0,Medium,Low,No strong fraud signal,Completed — no execution backlog,100,,0,False
2443,Normal/Others,WS/MP18161/2024-2025/140182-Construction of rooms and halls in school and colleges,Rajasthan,BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA),SANJNA JATAV,BHARATPUR(SC),shesh baramda nirman karya rajkiya uchcha madhyamik school gram karhi,10-Sep-2024,300000,12-Dec-2024,WS/MP18161/2024-2025/140182,Construction of rooms and halls in school and colleges,300000.0,2024-09-10,2024-12-12,300000.0,Vendor Identification,93.0,True,600000.0,437979.7254992252,state+category,-0.6849632129844575,1,,False,0,619.0,93.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,5.4,23.6,Low,Low,No payment record yet — vendor pattern unverified,"Sanctioned but stuck in execution for 619 days (>1 year, no completion)",33,,0,False
2444,Normal/Others,"WS/MP18161/2024-2025/140183-Construction of roads, link roads, pathways or any other road with or without drainage system",Rajasthan,BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA),SANJNA JATAV,BHARATPUR(SC),interlocking/ cc nirman karya bhumiya baba par se main rasta ki or gram bharkau work agency gp dahra,10-Sep-2024,250000,18-Dec-2024,WS/MP18161/2024-2025/140183,"Construction of roads, link roads, pathways or any other road with or without drainage system",250000.0,2024-09-10,2024-12-18,250000.0,Work partially Completed,99.0,True,499929.0,305840.14227496926,state+category,-0.817188345980098,1,,False,0,613.0,99.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,7.3,20.6,Low,Low,No payment record yet — vendor pattern unverified,"Sanctioned but stuck in execution for 613 days (>1 year, no completion)",33,,0,False
2445,Normal/Others,"WS/MP18161/2024-2025/140184-Construction of roads, link roads, pathways or any other road with or without drainage system",Rajasthan,BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA),SANJNA JATAV,BHARATPUR(SC),interlocking / cc kharnja nirman karya deepachand ke ghar se bhagwan singh ke ghar ki or gram dahra,10-Sep-2024,250000,18-Dec-2024,WS/MP18161/2024-2025/140184,"Construction of roads, link roads, pathways or any other road with or without drainage system",250000.0,2024-09-10,2024-12-18,250000.0,Vendor Identification,99.0,True,499929.0,305840.14227496926,state+category,-0.817188345980098,1,,False,0,613.0,99.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,7.3,20.6,Low,Low,No payment record yet — vendor pattern unverified,"Sanctioned but stuck in execution for 613 days (>1 year, no completion)",33,,0,False
2446,Normal/Others,"WS/MP370/2024-2025/140197-Purchase of IT systems, including hardware and software for educational purposes",Odisha,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),Shri Jual Oram,SUNDARGARH (ST),"Computer Education project at  Govt. U.P. School, Kusumura, GP-Kusumura, Block Balisankara",20-Sep-2024,480000,05-Dec-2024,WS/MP370/2024-2025/140197,"Purchase of IT systems, including hardware and software for educational purposes",480000.0,2024-09-20,2024-12-05,480000.0,Work Completed,76.0,True,480000.0,0.0,state+category,0.0,1,480000.0,True,0,0.0,76.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.0,0.0,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
2447,Normal/Others,"WS/MP370/2024-2025/140198-Purchase of IT systems, including hardware and software for educational purposes",Odisha,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),Shri Jual Oram,SUNDARGARH (ST),"Computer Education project at Govt. Primary School, Block Colony, GP-Balisankara, Block-Balisankara",20-Sep-2024,480000,19-Nov-2024,WS/MP370/2024-2025/140198,"Purchase of IT systems, including hardware and software for educational purposes",480000.0,2024-09-20,2024-11-19,480000.0,Work Completed,60.0,True,480000.0,0.0,state+category,0.0,1,480000.0,True,0,0.0,60.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.0,0.0,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
2448,Normal/Others,"WS/MP370/2024-2025/140199-Purchase of IT systems, including hardware and software for educational purposes",Odisha,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),Shri Jual Oram,SUNDARGARH (ST),"Computer Education project at  Govt. U.P. School, Kendudihi, GP-Tildega, Block-Balisankara",20-Sep-2024,480000,28-Nov-2024,WS/MP370/2024-2025/140199,"Purchase of IT systems, including hardware and software for educational purposes",480000.0,2024-09-20,2024-11-28,480000.0,Work Completed,69.0,True,480000.0,0.0,state+category,0.0,1,480000.0,True,0,0.0,69.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.0,0.0,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
