Sr. No.,Work category,WORK,State,IDA,Hon'ble Members of Parliament,Constituency,Work description,Recommended date,RECOMMENDED AMOUNT   ( ₹ ),Sanction Date,work_id,work_type,recommended_amount,recommended_date,sanction_date,sanction_amount,Work Status,sanction_delay_days,is_sanctioned,baseline_median,baseline_std,baseline_level,cost_zscore,is_sanctioned_flag,amount_disbursed,is_completed,image_missing_flag,stuck_days,delay_feature,disbursement_gap_pct,vendor_total_works,vendor_data_available,vendor_concentration_score,total_disbursed_so_far,spent_pct_of_recommended,funds_exhausted_not_completed_flag,repetition_count,fraud_risk_score,inefficiency_score,fraud_risk_tier,inefficiency_tier,fraud_reason,inefficiency_reason,data_confidence,compliance_flags,compliance_flag_count,needs_fraud_review
4930,Normal/Others,"WS/MP499/2024-2025/144950-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA),Smt Satabdi Roy (Banerjee),BIRBHUM,"Construction of C.C. Road, G.P - Fulur,Sainthia , from Baidyanath Chowdhury house to Bataspur pry school, Mouja- Bataspur, J.L - 132, Dag- 630 - 621",01-Oct-2024,247087,02-Dec-2024,WS/MP499/2024-2025/144950,"Construction of roads, link roads, pathways or any other road with or without drainage system",247087.0,2024-10-01,2024-12-02,247087.0,Physical Inspection,62.0,True,349998.0,455611.10342278035,state+category,-0.22587465324457784,1,247087.0,True,1,0.0,62.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,21.9,0.0,Low,Low,Marked completed but no photo evidence uploaded; No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,No photo evidence on record for a completed work,1,True
4931,Normal/Others,WS/MP499/2024-2025/144951-Installing community drinking water plants,West Bengal,BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA),Smt Satabdi Roy (Banerjee),BIRBHUM,"Installation of Submarsible pump with pipe line, Vill- Mashra, Dag- 2130, JL- 41, Near Dulal Mondal house, G.P - Masra, RPH - I",01-Oct-2024,498940,30-Dec-2024,WS/MP499/2024-2025/144951,Installing community drinking water plants,498940.0,2024-10-01,2024-12-30,498940.0,Physical Inspection,90.0,True,300000.0,465691.0972187165,state+category,0.4271930496162477,1,498940.0,True,1,0.0,90.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,29.0,0.0,Low,Low,Marked completed but no photo evidence uploaded; No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,No photo evidence on record for a completed work,1,True
4932,Normal/Others,WS/MP499/2025-2026/144952-Providing drains and gutters for public drainage,West Bengal,BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA),Smt Satabdi Roy (Banerjee),BIRBHUM,"Construction of Protection wall with Bolder setting, vill- Raghurpur, Near - Dulal house to Motiur house, G.P - Kushmore - I , Murarai - II",01-Oct-2024,496838,05-May-2025,WS/MP499/2025-2026/144952,Providing drains and gutters for public drainage,496838.0,2024-10-01,2025-05-05,496838.0,Physical Inspection,216.0,True,454767.0,375044.0322926137,state+category,0.11217616167046679,1,496838.0,True,0,0.0,216.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,1.0,0.0,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
4933,Normal/Others,"WS/MP499/2025-2026/144953-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA),Smt Satabdi Roy (Banerjee),BIRBHUM,"Construction of P.C.C road at Vill- karamchi, Jahangir sk house to Mirajul house, Dag - 80- 81,J.L  -147, G.P  -Kushmor - II, Murarai - II,",01-Oct-2024,474443,13-May-2025,WS/MP499/2025-2026/144953,"Construction of roads, link roads, pathways or any other road with or without drainage system",474443.0,2024-10-01,2025-05-13,474443.0,Physical Inspection,224.0,True,349998.0,455611.10342278035,state+category,0.2731386462382203,1,,False,0,467.0,224.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,1.5,42.7,Low,Medium,No payment record yet — vendor pattern unverified,"Sanctioned but stuck in execution for 467 days (>1 year, no completion)",33,,0,False
4934,Normal/Others,WS/MP761/2024-2025/144956-Construction of community centers and community halls,Telangana,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,NIZAMABAD,Construction of Community Hall,01-Oct-2024,486885,08-Oct-2024,WS/MP761/2024-2025/144956,Construction of community centers and community halls,486885.0,2024-10-01,2024-10-08,486885.0,Physical Inspection,7.0,True,399551.0,211326.7430146695,state+category,0.4132652533898069,1,486885.0,True,1,0.0,7.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,28.4,0.0,Low,Low,Marked completed but no photo evidence uploaded; No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,No photo evidence on record for a completed work,1,True
4935,Normal/Others,WS/MP761/2024-2025/144957-Construction of community centers and community halls,Telangana,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,NIZAMABAD,Construction of Community Hall near Guradireddy Colony,01-Oct-2024,369825,08-Oct-2024,WS/MP761/2024-2025/144957,Construction of community centers and community halls,369825.0,2024-10-01,2024-10-08,369825.0,Physical Inspection,7.0,True,399551.0,211326.7430146695,state+category,-0.1406636925168365,1,369825.0,True,1,0.0,7.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,19.2,0.0,Low,Low,Marked completed but no photo evidence uploaded; No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,No photo evidence on record for a completed work,1,True
4936,Normal/Others,"WS/MP761/2024-2025/144958-Construction of roads, link roads, pathways or any other road with or without drainage system",Telangana,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,NIZAMABAD,Construction of CC road from Pitla Nehru (H) to Pamula Gangaram House,01-Oct-2024,300000,08-Oct-2024,WS/MP761/2024-2025/144958,"Construction of roads, link roads, pathways or any other road with or without drainage system",300000.0,2024-10-01,2024-10-08,300000.0,Physical Inspection,7.0,True,493330.5,286379.82801138854,state+category,-0.6750842101641034,1,300000.0,True,1,0.0,7.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,31.3,0.0,Low,Low,Marked completed but no photo evidence uploaded; No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,No photo evidence on record for a completed work,1,True
4937,Normal/Others,WS/MP761/2024-2025/144960-Construction of community centers and community halls,Telangana,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,NIZAMABAD,Construction of Community Hal in SC Wada,01-Oct-2024,491636,08-Oct-2024,WS/MP761/2024-2025/144960,Construction of community centers and community halls,491636.0,2024-10-01,2024-10-08,491636.0,Physical Inspection,7.0,True,399551.0,211326.7430146695,state+category,0.4357470270272788,1,491636.0,True,1,0.0,7.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,28.9,0.0,Low,Low,Marked completed but no photo evidence uploaded; No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,No photo evidence on record for a completed work,1,True
4938,Normal/Others,WS/MP761/2024-2025/144962-Construction of community centers and community halls,Telangana,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,NIZAMABAD,Construction of Community Hall in Munnurukapu wada,01-Oct-2024,450000,09-Oct-2024,WS/MP761/2024-2025/144962,Construction of community centers and community halls,450000.0,2024-10-01,2024-10-09,450000.0,Physical Inspection,8.0,True,399551.0,211326.7430146695,state+category,0.2387251101319345,1,450000.0,True,1,0.0,8.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,25.5,0.0,Low,Low,Marked completed but no photo evidence uploaded; No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,No photo evidence on record for a completed work,1,True
4939,Normal/Others,WS/MP386/2024-2025/144963-Improvement of electricity distribution infrastructure,Rajasthan,NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA),Shri Hanuman Beniwal,NAGAUR,"Electrification work of dhanis of Jagmal Ram, Nainaram, Kaluram, Sahdevram situated in village Bhatnokha",01-Oct-2024,154600,04-Dec-2024,WS/MP386/2024-2025/144963,Improvement of electricity distribution infrastructure,154600.0,2024-10-01,2024-12-04,154600.0,Physical Inspection,64.0,True,123982.0,63001.328365675996,state+category,0.48598975282370577,1,154600.0,True,1,0.0,64.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,29.4,0.0,Low,Low,Marked completed but no photo evidence uploaded; No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,No photo evidence on record for a completed work,1,True
