"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"10883","Bihar","Lighting of public spaces","WS/MP18044/2025-2026/222621","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","07-Mar-2026","HARSH CHOPRA","Payment Success","290000"
"10884","Bihar","Lighting of public spaces","WS/MP18044/2025-2026/222623","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","07-Mar-2026","HARSH CHOPRA","Payment Success","360000"
"10885","Bihar","Lighting of public spaces","WS/MP18044/2025-2026/224432","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","07-Mar-2026","HARSH CHOPRA","Payment Success","360000"
"10886","Bihar","Lighting of public spaces","WS/MP18044/2025-2026/235986","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","11-May-2026","HARSH CHOPRA","Payment Success","360000"
"10887","Bihar","Lighting of public spaces","WS/MP18044/2025-2026/235994","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","11-May-2026","HARSH CHOPRA","Payment Success","360000"
"10888","Bihar","Lighting of public spaces","WS/MP18044/2025-2026/235997","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","11-May-2026","HARSH CHOPRA","Payment Success","360000"
"10889","Bihar","Lighting of public spaces","WS/MP18044/2025-2026/236002","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","11-May-2026","HARSH CHOPRA","Payment Success","360000"
"10890","Bihar","Lighting of public spaces","WS/MP18044/2025-2026/236007","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","11-May-2026","HARSH CHOPRA","Payment Success","360000"
"10891","Bihar","Lighting of public spaces","WS/MP18044/2025-2026/236011","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","11-May-2026","HARSH CHOPRA","Payment Success","360000"
"10892","Bihar","Lighting of public spaces","WS/MP18044/2025-2026/236014","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","11-May-2026","HARSH CHOPRA","Payment Success","360000"
"10893","Bihar","Lighting of public spaces","WS/MP18044/2025-2026/236696","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","11-May-2026","HARSH CHOPRA","Payment Success","360000"
"10894","Bihar","Lighting of public spaces","WS/MP18044/2025-2026/236013","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","11-May-2026","HARSH CHOPRA","Payment Success","360000"
"10895","Bihar","Lighting of public spaces","WS/MP18044/2025-2026/236694","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","11-May-2026","HARSH CHOPRA","Payment Success","360000"
"10896","Bihar","Lighting of public spaces","WS/MP18044/2025-2026/236695","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","11-May-2026","HARSH CHOPRA","Payment Success","360000"
"10897","Bihar","Lighting of public spaces","WS/MP18044/2025-2026/235985","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","11-May-2026","HARSH CHOPRA","Payment Success","360000"
"10898","Bihar","Lighting of public spaces","WS/MP18044/2026-2027/236706","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","21-Jul-2026","HARSH CHOPRA","Payment Success","360000"
"10899","Bihar","Lighting of public spaces","WS/MP18044/2026-2027/236703","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","21-Jul-2026","HARSH CHOPRA","Payment Success","360000"
"10900","Bihar","Lighting of public spaces","WS/MP18044/2026-2027/236699","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","21-Jul-2026","HARSH CHOPRA","Payment Success","360000"
"10901","Bihar","Lighting of public spaces","WS/MP18044/2026-2027/236701","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","21-Jul-2026","HARSH CHOPRA","Payment Success","360000"
"10902","Bihar","Lighting of public spaces","WS/MP18044/2026-2027/236700","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","21-Jul-2026","HARSH CHOPRA","Payment Success","360000"
"10903","Bihar","Lighting of public spaces","WS/MP18044/2026-2027/236702","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","21-Jul-2026","HARSH CHOPRA","Payment Success","360000"
"10904","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP526/2025-2026/257251","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Y S Avinash Reddy","KADAPA","28-Jul-2026","VAMSI KRISHNA CONSTRUCTIONS","Payment Success","199300"
"10905","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP18184/2026-2027/211711","THENI(District Collector Theni_5)","THANGA TAMILSELVAN","THENI","02-Jul-2026","GBM ENGINEERING AND CONSTRUCTION","Payment Success","415382"
"10906","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP18184/2025-2026/211710","THENI(District Collector Theni_5)","THANGA TAMILSELVAN","THENI","03-Mar-2026","GBM ENGINEERING AND CONSTRUCTION","Payment Success","436722"
"10907","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP18184/2025-2026/211710","THENI(District Collector Theni_5)","THANGA TAMILSELVAN","THENI","19-May-2026","GBM ENGINEERING AND CONSTRUCTION","Payment Success","359230"
"10908","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP18184/2026-2027/211711","THENI(District Collector Theni_5)","THANGA TAMILSELVAN","THENI","14-Aug-2026","GBM ENGINEERING AND CONSTRUCTION","Payment Success","384618"
"10909","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18321/2025-2026/233620","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","SHOBHANABEN MAHENDRASINH BARAIYA","SABARKANTHA","27-Mar-2026","Mohanpur gram panchayat","Payment Success","400000"
"10910","Meghalaya","Construction of rooms and halls in school and colleges","WS/MP18137/2025-2026/161373","EASTERN WEST KHASI HILLS(DEPUTY COMMISSIONER EASTERN WEST KHASI HILLS MAIRANG_IDA)","ANDREW J. SYNGKON","SHILLONG","26-Feb-2026","ST THOMAS HSS HIGHER SECONDARY SECTION","Payment Success","350000"
"10911","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18326/2025-2026/238335","SURENDRANAGAR(DISTRICT COLLECTOR SURENDRANAGAR_IDA)","CHANDUBHAI CHHAGANBHAI SHIHORA","SURENDRANAGAR","18-Mar-2026","JALIYALA GRAM PANCHAYAT","Payment Success","496384"
"10912","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18133/2025-2026/148516","SATARA(DISTRICT COLLECTOR SATARA_IDA)","SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE","SATARA","06-Mar-2026","Shubham Dadaso Pawar","Payment Success","497580"
"10913","Tamil Nadu","Construction of community centers and community halls","WS/MP393/2025-2026/206422","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","18-Mar-2026","MANIMUTHU A","Payment Success","941244"
"10914","Bihar","Lighting of public spaces","WS/MP18037/2025-2026/217111","ROHTAS(District Planning Officer Rohtas_IDA)","RAJA RAM SINGH","KARAKAT","06-Apr-2026","VIKASH ENTERPRISES","Payment Success","300000"
"10915","Bihar","Development of public parks","WS/MP18037/2025-2026/169135","ROHTAS(District Planning Officer Rohtas_IDA)","RAJA RAM SINGH","KARAKAT","06-Apr-2026","VIKASH ENTERPRISES","Payment Success","300000"
"10916","Bihar","Development of public parks","WS/MP18037/2025-2026/169138","ROHTAS(District Planning Officer Rohtas_IDA)","RAJA RAM SINGH","KARAKAT","06-Apr-2026","VIKASH ENTERPRISES","Payment Success","300000"
"10917","Bihar","Development of public parks","WS/MP18037/2025-2026/169134","ROHTAS(District Planning Officer Rohtas_IDA)","RAJA RAM SINGH","KARAKAT","06-Apr-2026","VIKASH ENTERPRISES","Payment Success","300000"
"10918","Bihar","Development of public parks","WS/MP18037/2025-2026/169137","ROHTAS(District Planning Officer Rohtas_IDA)","RAJA RAM SINGH","KARAKAT","06-Apr-2026","VIKASH ENTERPRISES","Payment Success","300000"
"10919","Bihar","Street lights","WS/MP18037/2025-2026/205316","ROHTAS(District Planning Officer Rohtas_IDA)","RAJA RAM SINGH","KARAKAT","06-Apr-2026","VIKASH ENTERPRISES","Payment Success","300000"
"10920","Bihar","Lighting of public spaces","WS/MP18037/2025-2026/205315","ROHTAS(District Planning Officer Rohtas_IDA)","RAJA RAM SINGH","KARAKAT","06-Apr-2026","VIKASH ENTERPRISES","Payment Success","300000"
"10921","Bihar","Development of public parks","WS/MP18037/2025-2026/169136","ROHTAS(District Planning Officer Rohtas_IDA)","RAJA RAM SINGH","KARAKAT","06-Apr-2026","VIKASH ENTERPRISES","Payment Success","300000"
"10922","Bihar","Street lights","WS/MP18037/2025-2026/205317","ROHTAS(District Planning Officer Rohtas_IDA)","RAJA RAM SINGH","KARAKAT","06-Apr-2026","VIKASH ENTERPRISES","Payment Success","300000"
"10923","Bihar","Lighting of public spaces","WS/MP18037/2025-2026/230337","ROHTAS(District Planning Officer Rohtas_IDA)","RAJA RAM SINGH","KARAKAT","06-Apr-2026","VIKASH ENTERPRISES","Payment Success","300000"
"10924","Bihar","Development of public parks","WS/MP18037/2025-2026/176947","ROHTAS(District Planning Officer Rohtas_IDA)","RAJA RAM SINGH","KARAKAT","07-Aug-2026","VIKASH ENTERPRISES","Payment Success","300000"
"10925","Bihar","Street lights","WS/MP18031/2025-2026/222718","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","11-Jul-2026","VIKASH ENTERPRISES","Payment Success","600000"
"10926","Bihar","Street lights","WS/MP18031/2025-2026/239362","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","11-Jul-2026","VIKASH ENTERPRISES","Payment Success","399000"
"10927","Bihar","Lighting of public spaces","WS/MP18037/2025-2026/214782","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","20-Jun-2026","VIKASH ENTERPRISES","Payment Success","990000"
"10928","Bihar","Lighting of public spaces","WS/MP18037/2026-2027/214449","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","01-Jul-2026","VIKASH ENTERPRISES","Payment Success","990000"
"10929","Bihar","Lighting of public spaces","WS/MP18037/2025-2026/216107","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","22-Jun-2026","VIKASH ENTERPRISES","Payment Success","300000"
"10930","Bihar","Street lights","WS/MP18037/2025-2026/214783","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","19-Jun-2026","VIKASH ENTERPRISES","Payment Success","300000"
"10931","Bihar","Lighting of public spaces","WS/MP18037/2025-2026/216105","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","19-Jun-2026","VIKASH ENTERPRISES","Payment Success","300000"
"10932","Bihar","Lighting of public spaces","WS/MP18037/2025-2026/230333","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","19-Jun-2026","VIKASH ENTERPRISES","Payment Success","300000"
"10933","Bihar","Street lights","WS/MP18031/2025-2026/204027","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","11-Jul-2026","VIKASH ENTERPRISES","Payment Success","399000"
"10934","Bihar","Street lights","WS/MP18031/2025-2026/222724","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","11-Jul-2026","VIKASH ENTERPRISES","Payment Success","399000"
"10935","Meghalaya","Development of playfields and sports grounds","WS/MP18137/2025-2026/243332","WEST JAINTIA HILLS(DEPUTY COMMISSIONER WEST JAINTIA HILLS JOWAI_IDA)","ANDREW J. SYNGKON","SHILLONG","14-Apr-2026","LUMRYMMU LP SCHOOL MYNSO","Payment Success","250000"
"10936","Meghalaya","Development of playfields and sports grounds","WS/MP18137/2025-2026/243332","WEST JAINTIA HILLS(DEPUTY COMMISSIONER WEST JAINTIA HILLS JOWAI_IDA)","ANDREW J. SYNGKON","SHILLONG","18-Jun-2026","LUMRYMMU LP SCHOOL MYNSO","Payment Success","250000"
"10937","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18112/2025-2026/194085","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","BALWANT BASWANT WANKHADE","AMRAVATI(SC)","21-Mar-2026","SYED YASEER ZAMA SYED ZAFAR ALI","Payment Success","1000000"
