"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"19195","Uttarakhand","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP478/2025-2026/154203","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","16-Dec-2025","KALAYAN SINGH","Payment Success","13356"
"19196","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP18375/2025-2026/187760","SEHORE(DISTRICT COLLECTOR SEHORE_IDA)","SHIVRAJ SINGH CHOUHAN","VIDISHA","17-Mar-2026","GP RAFEEQUEGANJ S","Payment Success","625000"
"19197","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP18375/2025-2026/187760","SEHORE(DISTRICT COLLECTOR SEHORE_IDA)","SHIVRAJ SINGH CHOUHAN","VIDISHA","11-Dec-2025","GP RAFEEQUEGANJ S","Payment Success","625000"
"19198","Assam","Construction of rooms and halls in school and colleges","WS/MP410/2025-2026/244426","LAKHIMPUR(DEPUTY COMMISSIONER LAKHIMPUR_IDA)","Pradan Baruah","LAKHIMPUR","26-Dec-2025","Kushal Konch","Payment Success","298914"
"19199","Assam","Construction of rooms and halls in school and colleges","WS/MP410/2025-2026/244426","LAKHIMPUR(DEPUTY COMMISSIONER LAKHIMPUR_IDA)","Pradan Baruah","LAKHIMPUR","26-Dec-2025","Kushal Konch","Payment Success","685061"
"19200","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18273/2025-2026/160310","Malda(DISTRICT MAGISTRATE MALDA_IDA)","ISHA KHAN CHOUDHURY","MALDAHA DAKSHIN","01-Dec-2025","SOMA ENTERPRISE","Payment Success","486330"
"19201","Uttarakhand","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP478/2025-2026/154203","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","16-Dec-2025","DEV CHAND","Payment Success","13356"
"19202","Telangana","Installing tube-wells and borewells","WS/MP18389/2025-2026/185705","HANUMAKONDA(DISTRICT COLLECTOR HANUMAKONDA_IDA)","KADIYAM KAVYA","WARANGEL(SC)","02-Dec-2025","ALLAVULA RAJU","Payment Success","297566"
"19203","Tamil Nadu","Construction of buildings for sports facilities","WS/MP391/2025-2026/146422","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Thiru Dayanidhi Maran","CHENNAI CENTRAL","11-Dec-2025","A AND A BUILDERS AND PROMOTERS","Payment Success","4784834"
"19204","Tamil Nadu","Construction of buildings for sports facilities","WS/MP391/2025-2026/146422","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Thiru Dayanidhi Maran","CHENNAI CENTRAL","11-Dec-2025","A AND A BUILDERS AND PROMOTERS","Payment Success","4964176"
"19205","Tamil Nadu","Development of playground","WS/MP391/2025-2026/211751","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Thiru Dayanidhi Maran","CHENNAI CENTRAL","11-Dec-2025","A AND A BUILDERS AND PROMOTERS","Payment Success","4965384"
"19206","Tamil Nadu","Development of playground","WS/MP391/2025-2026/211751","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Thiru Dayanidhi Maran","CHENNAI CENTRAL","11-Dec-2025","A AND A BUILDERS AND PROMOTERS","Payment Success","4965891"
"19207","Assam","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP18021/2025-2026/212047","GOALPARA(Deputy Commissioner Goalpara_IDA)","RAKIBUL HUSSAIN","DHUBRI","01-Dec-2025","Mohir Uddin","Payment Success","449922"
"19208","Assam","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP18021/2025-2026/212056","GOALPARA(Deputy Commissioner Goalpara_IDA)","RAKIBUL HUSSAIN","DHUBRI","01-Dec-2025","Mohir Uddin","Payment Success","299837"
"19209","Assam","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP18021/2025-2026/212060","GOALPARA(Deputy Commissioner Goalpara_IDA)","RAKIBUL HUSSAIN","DHUBRI","01-Dec-2025","Mohir Uddin","Payment Success","299899"
"19210","Maharashtra","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18123/2025-2026/169723","KOLHAPUR(DISTRICT COLLECTOR KOLHAPUR_IDA)","CHHATRAPATI SHAHU SHAHAJI","KOLHAPUR","15-Dec-2025","AMOL MARUTI PATIL ADAMAPUR TAL BHUDARGAD","Payment Success","500000"
"19211","Karnataka","Construction of buildings for crèches and anganwadies","WS/MP18082/2025-2026/211830","CHITRADURGA(DEPUTY COMMISSIONER CHITRADURGA_IDA)","GOVIND MAKTHAPPA KARJOL","CHITRADURGA(SC)","21-Apr-2026","KEERTHI S J","Payment Success","289364"
"19212","Karnataka","Construction of buildings for crèches and anganwadies","WS/MP18082/2025-2026/211830","CHITRADURGA(DEPUTY COMMISSIONER CHITRADURGA_IDA)","GOVIND MAKTHAPPA KARJOL","CHITRADURGA(SC)","21-Apr-2026","KEERTHI S J","Payment Success","100348"
"19213","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18009/2024-2025/173843","Sri Sathya Sai(DISTRICT COLLECTOR SRI SATHYA SAI_IDA)","B K PARTHASARATHI","HINDUPUR","01-Dec-2025","Dhoni Mahadevakumarsowri","Payment Success","498180"
"19214","Punjab","Providing drains and gutters for public drainage","WS/MP18155/2025-2026/207525","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","02-Jan-2026","MS Shakti Concrete Precasting Works","Payment Success","56640"
"19215","Punjab","Providing drains and gutters for public drainage","WS/MP18155/2025-2026/228789","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","02-Jan-2026","MS Shakti Concrete Precasting Works","Payment Success","53100"
"19216","Karnataka","Construction of community centers and community halls","WS/MP618/2025-2026/208391","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Parvatagouda Chandanagouda Gaddigoudar","BAGALKOT","02-Jan-2026","BHIMAPPA ARAKERI","Payment Success","124854"
"19217","Karnataka","Construction of community centers and community halls","WS/MP618/2025-2026/208391","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Parvatagouda Chandanagouda Gaddigoudar","BAGALKOT","04-Dec-2025","BHIMAPPA ARAKERI","Payment Success","375000"
"19218","Gujarat","Construction of community centers and community halls","WS/MP582/2024-2025/167703","SURAT(DISTRICT COLLECTOR SURAT_IDA)","Prabhubhai Nagarbhai Vasava","BARDOLI(ST)","05-Dec-2025","SAI CONSTRUCTION","Payment Success","882933"
"19219","Gujarat","Construction of common work sheds/ common covered sitting area","WS/MP18321/2024-2025/163337","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","SHOBHANABEN MAHENDRASINH BARAIYA","SABARKANTHA","02-Dec-2025","THE JIVAN JYOT MAJUR KAMDAR SAHAKARI MANDALI LIMITED","Payment Success","525000"
"19220","Maharashtra","Providing drains and gutters for public drainage","WS/MP18116/2025-2026/221636","THANE(DISTRICT COLLECTOR THANE_IDA)","BALYA MAMA SURESH GOPINATH MHATRE","BHIWANDI","06-Apr-2026","Bubere and Associates","Payment Success","1474069"
"19221","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18116/2026-2027/230997","THANE(DISTRICT COLLECTOR THANE_IDA)","BALYA MAMA SURESH GOPINATH MHATRE","BHIWANDI","09-Apr-2026","Bubere and Associates","Payment Success","1481828"
"19222","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18116/2026-2027/230996","THANE(DISTRICT COLLECTOR THANE_IDA)","BALYA MAMA SURESH GOPINATH MHATRE","BHIWANDI","09-Apr-2026","Bubere and Associates","Payment Success","1481986"
"19223","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18116/2025-2026/235750","THANE(DISTRICT COLLECTOR THANE_IDA)","BALYA MAMA SURESH GOPINATH MHATRE","BHIWANDI","07-Jul-2026","Bubere and Associates","Payment Success","992529"
"19224","Maharashtra","Fitting of Sitting RCC Benches in Public Places","WS/MP18116/2025-2026/235747","THANE(DISTRICT COLLECTOR THANE_IDA)","BALYA MAMA SURESH GOPINATH MHATRE","BHIWANDI","07-Jul-2026","Bubere and Associates","Payment Success","492000"
"19225","Maharashtra","Providing supply pipelines for drinking water","WS/MP18116/2025-2026/240779","THANE(DISTRICT COLLECTOR THANE_IDA)","BALYA MAMA SURESH GOPINATH MHATRE","BHIWANDI","10-Feb-2026","Bubere and Associates","Payment Success","396643"
"19226","Maharashtra","Construction of footpaths and pedestrian ways","WS/MP18116/2025-2026/192284","THANE(DISTRICT COLLECTOR THANE_IDA)","BALYA MAMA SURESH GOPINATH MHATRE","BHIWANDI","02-Dec-2025","Bubere and Associates","Payment Success","1463606"
"19227","Maharashtra","Installing tube-wells and borewells","WS/MP18116/2025-2026/235815","THANE(DISTRICT COLLECTOR THANE_IDA)","BALYA MAMA SURESH GOPINATH MHATRE","BHIWANDI","20-May-2026","Bubere and Associates","Payment Success","296645"
"19228","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP18314/2025-2026/177599","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","10-Feb-2026","Dhanaula Pump Store","Payment Success","32080"
"19229","Punjab","Installing tube-wells and borewells","WS/MP18314/2025-2026/177345","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","10-Feb-2026","Dhanaula Pump Store","Payment Success","45820"
"19230","Punjab","Installing tube-wells and borewells","WS/MP18314/2025-2026/177345","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","10-Feb-2026","Dhanaula Pump Store","Payment Success","12980"
"19231","Punjab","Installing tube-wells and borewells","WS/MP18314/2025-2026/242901","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","04-Feb-2026","Dhanaula Pump Store","Payment Success","42020"
"19232","Punjab","Installing tube-wells and borewells","WS/MP18314/2025-2026/242901","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","04-Feb-2026","Dhanaula Pump Store","Payment Success","12980"
"19233","Punjab","Installing tube-wells and borewells","WS/MP18314/2025-2026/242903","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","04-Feb-2026","Dhanaula Pump Store","Payment Success","42020"
"19234","Punjab","Installing tube-wells and borewells","WS/MP18314/2025-2026/242903","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","04-Feb-2026","Dhanaula Pump Store","Payment Success","12980"
"19235","Punjab","Installing tube-wells and borewells","WS/MP18314/2025-2026/219595","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","08-May-2026","Dhanaula Pump Store","Payment Success","35530"
"19236","Punjab","Installing tube-wells and borewells","WS/MP18314/2025-2026/219595","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","08-May-2026","Dhanaula Pump Store","Payment Success","34470"
"19237","Punjab","Installing tube-wells and borewells","WS/MP18314/2025-2026/243349","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","20-Apr-2026","Dhanaula Pump Store","Payment Success","70000"
"19238","Punjab","Installing tube-wells and borewells","WS/MP18314/2025-2026/242900","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","04-Feb-2026","Dhanaula Pump Store","Payment Success","42020"
"19239","Punjab","Installing tube-wells and borewells","WS/MP18314/2025-2026/242900","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","04-Feb-2026","Dhanaula Pump Store","Payment Success","12980"
"19240","Punjab","Installing tube-wells and borewells","WS/MP18314/2025-2026/242902","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","04-Feb-2026","Dhanaula Pump Store","Payment Success","42020"
"19241","Punjab","Installing tube-wells and borewells","WS/MP18314/2025-2026/242902","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","04-Feb-2026","Dhanaula Pump Store","Payment Success","12980"
"19242","Punjab","Installing tube-wells and borewells","WS/MP18314/2025-2026/190979","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","03-Dec-2025","Dhanaula Pump Store","Payment Success","42020"
"19243","Punjab","Installing tube-wells and borewells","WS/MP18314/2025-2026/190979","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","03-Dec-2025","Dhanaula Pump Store","Payment Success","12980"
"19244","Punjab","Installing tube-wells and borewells","WS/MP18314/2025-2026/177614","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","03-Dec-2025","Dhanaula Pump Store","Payment Success","45120"
"19245","Punjab","Installing tube-wells and borewells","WS/MP18314/2025-2026/177614","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","03-Dec-2025","Dhanaula Pump Store","Payment Success","12980"
"19246","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP18314/2025-2026/235934","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","20-Mar-2026","Dhanaula Pump Store","Payment Success","7257"
"19247","Punjab","Installing tube-wells and borewells","WS/MP18314/2025-2026/177344","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","02-Dec-2025","Dhanaula Pump Store","Payment Success","45820"
"19248","Punjab","Installing tube-wells and borewells","WS/MP18314/2025-2026/177344","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","02-Dec-2025","Dhanaula Pump Store","Payment Success","12980"
"19249","Punjab","Installing tube-wells and borewells","WS/MP18314/2025-2026/177344","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","02-Dec-2025","Dhanaula Pump Store","Payment Success","45820"
"19250","Punjab","Installing tube-wells and borewells","WS/MP18314/2025-2026/177344","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","02-Dec-2025","Dhanaula Pump Store","Payment Success","12980"
"19251","Rajasthan","Development of public parks","WS/MP18170/2024-2025/165930","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","AMRARAM","SIKAR","13-Mar-2026","RAJENDRA","Payment Success","6048"
"19252","Odisha","Lighting of public spaces","WS/MP372/2025-2026/238090","Kataka(DISTRICT COLLECTOR CUTTACK_IDA)","Shri Bhartruhari Mahtab","CUTTACK","20-May-2026","SAROJ BARIK","Payment Success","100000"
"19253","Odisha","Lighting of public spaces","WS/MP372/2025-2026/237905","Kataka(DISTRICT COLLECTOR CUTTACK_IDA)","Shri Bhartruhari Mahtab","CUTTACK","20-May-2026","SAROJ BARIK","Payment Success","100000"
"19254","Odisha","Lighting of public spaces","WS/MP372/2025-2026/237899","Kataka(DISTRICT COLLECTOR CUTTACK_IDA)","Shri Bhartruhari Mahtab","CUTTACK","27-Feb-2026","SAROJ BARIK","Payment Success","150000"
"19255","Punjab","Installing tube-wells and borewells","WS/MP18314/2025-2026/177614","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","03-Dec-2025","Baru Khan Boring Company","Payment Success","16900"
"19256","Punjab","Installing tube-wells and borewells","WS/MP18314/2025-2026/190979","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","03-Dec-2025","Baru Khan Boring Company","Payment Success","15000"
"19257","Punjab","Installing tube-wells and borewells","WS/MP18314/2025-2026/242902","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","04-Feb-2026","Baru Khan Boring Company","Payment Success","15000"
"19258","Punjab","Installing tube-wells and borewells","WS/MP18314/2025-2026/242903","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","04-Feb-2026","Baru Khan Boring Company","Payment Success","15000"
"19259","Chhattisgarh","Construction of common work sheds/ common covered sitting area","WS/MP429/2025-2026/242182","KOREA(Collector Korea_IDA)","Jyotsna Charandas Mahant","KORBA","06-Dec-2025","GRAM PANCHAYAT SAKARIYA","Payment Success","250000"
"19260","Chhattisgarh","Installing hand pumps","WS/MP429/2025-2026/242180","KOREA(Collector Korea_IDA)","Jyotsna Charandas Mahant","KORBA","02-Jan-2026","GARM PANCHAYAT KHANDHAURA","Payment Success","110000"
"19261","Rajasthan","Development of playground","WS/MP18166/2025-2026/225532","JALORE(DISTRICT COLLECTOR JALORE_IDA)","LUMBARAM","JALORE","24-Dec-2025","ratanaram","Payment Success","12961"
"19262","Rajasthan","Development of playground","WS/MP18166/2025-2026/225532","JALORE(DISTRICT COLLECTOR JALORE_IDA)","LUMBARAM","JALORE","24-Dec-2025","hanuman","Payment Success","3861"
"19263","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18155/2025-2026/239125","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","19-Dec-2025","Parmar Tiles","Payment Success","57000"
"19264","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18155/2025-2026/239125","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","19-Dec-2025","Parmar Tiles","Payment Success","57000"
"19265","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18155/2025-2026/239125","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","19-Dec-2025","Parmar Tiles","Payment Success","57000"
"19266","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18155/2025-2026/239125","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","19-Dec-2025","Parmar Tiles","Payment Success","57000"
"19267","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18155/2025-2026/257935","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","22-Jun-2026","Parmar Tiles","Payment Success","114000"
"19268","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18155/2025-2026/239125","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","01-Apr-2026","Parmar Tiles","Payment Success","57000"
"19269","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18155/2025-2026/239125","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","01-Apr-2026","Parmar Tiles","Payment Success","37200"
"19270","Rajasthan","Development of playground","WS/MP18166/2025-2026/225532","JALORE(DISTRICT COLLECTOR JALORE_IDA)","LUMBARAM","JALORE","24-Dec-2025","durgsingh","Payment Success","12961"
"19271","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18155/2025-2026/239125","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","19-Dec-2025","Iqwal Massean","Payment Success","4000"
"19272","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18155/2025-2026/259256","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","15-Jul-2026","Iqwal Massean","Payment Success","13500"
"19273","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18155/2025-2026/259257","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","15-Jul-2026","Iqwal Massean","Payment Success","13500"
"19274","Rajasthan","Development of playground","WS/MP18166/2025-2026/225532","JALORE(DISTRICT COLLECTOR JALORE_IDA)","LUMBARAM","JALORE","24-Dec-2025","jagu devi","Payment Success","3861"
"19275","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18155/2025-2026/239125","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","19-Dec-2025","neeraj kumar massean","Payment Success","24000"
"19276","Rajasthan","Development of playground","WS/MP18166/2025-2026/225532","JALORE(DISTRICT COLLECTOR JALORE_IDA)","LUMBARAM","JALORE","24-Dec-2025","sata ram","Payment Success","12961"
"19277","Rajasthan","Development of playground","WS/MP18166/2025-2026/225532","JALORE(DISTRICT COLLECTOR JALORE_IDA)","LUMBARAM","JALORE","24-Dec-2025","sata ram","Payment Success","12961"
"19278","Rajasthan","Development of playground","WS/MP18166/2025-2026/225532","JALORE(DISTRICT COLLECTOR JALORE_IDA)","LUMBARAM","JALORE","24-Dec-2025","pusba","Payment Success","3861"
"19279","Punjab","Setting up of kitchen and pantries","WS/MP18158/2025-2026/217320","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","18-Dec-2025","MANGA SINGH","Payment Success","28000"
"19280","Punjab","Setting up of kitchen and pantries","WS/MP18158/2025-2026/217320","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","18-Dec-2025","MANGA SINGH","Payment Success","28000"
"19281","Punjab","Construction of rooms and halls in school and colleges","WS/MP18158/2025-2026/185741","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","18-Dec-2025","MANGA SINGH","Payment Success","28000"
"19282","Punjab","Construction of rooms and halls in school and colleges","WS/MP18158/2025-2026/185741","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","18-Dec-2025","MANGA SINGH","Payment Success","28000"
"19283","Punjab","Construction of rooms and halls in school and colleges","WS/MP18158/2025-2026/185741","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","18-Dec-2025","MANGA SINGH","Payment Success","28000"
"19284","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP021/2025-2026/208340","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","05-Dec-2025","SHRI GANGE TRADERS","Payment Success","150169"
"19285","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP021/2025-2026/208338","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","02-Dec-2025","SHRI GANGE TRADERS","Payment Success","150994"
"19286","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP021/2025-2026/202411","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","SHRI GANGE TRADERS","Payment Success","155284"
"19287","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP777/2025-2026/225323","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Mahesh Sharma","GAUTAM BUDDHA NAGAR","13-Mar-2026","SP ENTERPRISES","Payment Success","885000"
"19288","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP777/2025-2026/225326","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Mahesh Sharma","GAUTAM BUDDHA NAGAR","18-Jun-2026","SP ENTERPRISES","Payment Success","867000"
"19289","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP777/2025-2026/225319","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Mahesh Sharma","GAUTAM BUDDHA NAGAR","18-Jun-2026","SP ENTERPRISES","Payment Success","287200"
"19290","Punjab","Setting up of kitchen and pantries","WS/MP18158/2025-2026/217320","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","18-Dec-2025","TARSEM SINGH","Payment Success","13200"
"19291","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP323/2025-2026/191255","GIR SOMNATH(DISTRICT COLLECTOR GIR SOMNATH_IDA)","Rajeshbhai Naranbhai Chudasama","JUNAGADH","02-Dec-2025","BHEBHA GRAM PANCHAYAT","Payment Success","244764"
"19292","Tamil Nadu","Setting up crops conservation facilities","WS/MP508/2025-2026/176408","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","CN Annadurai","TIRUVANNAMALAI","11-Dec-2025","PERIYADURAI","Payment Success","500000"
"19293","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18229/2025-2026/162083","MEERUT(DISTRICT MAGISTRATE MEERUT_IDA)","ARUN GOVIL","MEERUT","25-Feb-2026","PRAFUL ENTERPRISES","Payment Success","746703"
"19294","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18229/2025-2026/162081","MEERUT(DISTRICT MAGISTRATE MEERUT_IDA)","ARUN GOVIL","MEERUT","11-Dec-2025","PRAFUL ENTERPRISES","Payment Success","748651"
"19295","Punjab","Setting up of kitchen and pantries","WS/MP18158/2025-2026/217320","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","18-Dec-2025","HARDEEEP SINGH","Payment Success","6400"
"19296","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18326/2025-2026/175598","MORBI(District collector Morbi_IDA)","CHANDUBHAI CHHAGANBHAI SHIHORA","SURENDRANAGAR","02-Dec-2025","NAVA DEVALIYA GRAM PANCHAYAT","Payment Success","299843"
"19297","Madhya Pradesh","Purchase of other aids / devices required for P/ M/ V/ H impaired for differently abled persons","WS/MP18109/2025-2026/238383","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","01-Dec-2025","RAJPOOT AUTO AGENCY SIDHI","Payment Success","109153"
