work_id,Hon'ble Members of Parliament,State,Constituency,work_type,recommended_amount,is_sanctioned,stuck_days,early_warning_score
WS/MP18023/2024-2025/143871,BIJULI KALITA MEDHI,Assam,GUWAHATI,Construction of rooms and halls in school and colleges,500000.0,True,578.0,33.5
WS/MP18023/2024-2025/138483,BIJULI KALITA MEDHI,Assam,GUWAHATI,Construction of boundary walls of existing public and community buildings,1000000.0,True,604.0,33.4
WS/MP18249/2025-2026/153603,PARTHA BHOWMICK,West Bengal,BARRACKPUR,"Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",20000000.0,False,640.0,33.4
WS/MP18249/2025-2026/153601,PARTHA BHOWMICK,West Bengal,BARRACKPUR,"Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",20000000.0,False,640.0,33.4
WS/MP632/2025-2026/142197,Anto Antony,Kerala,PATHANAMTHITTA,Lighting of public spaces,220500.0,True,320.0,33.4
WS/MP18277/2024-2025/154140,AZAD KIRTI JHA,West Bengal,BARDHAMAN-DURGAPUR,Construction of boundary walls of existing public and community buildings,1000000.0,False,639.0,33.4
WS/MP632/2025-2026/142200,Anto Antony,Kerala,PATHANAMTHITTA,Lighting of public spaces,220500.0,True,320.0,33.4
WS/MP632/2025-2026/142081,Anto Antony,Kerala,PATHANAMTHITTA,"Purchase of IT systems, including hardware and software for educational purposes",200000.0,True,489.0,33.3
WS/MP812/2025-2026/147500,Vijay Kumar Dubey,Uttar Pradesh,KUSHI NAGAR,Construction of buildings for community cultural activities,1346452.0,True,477.0,33.3
WS/MP18023/2024-2025/140674,BIJULI KALITA MEDHI,Assam,GUWAHATI,"Construction of roads, link roads, pathways or any other road with or without drainage system",2400000.0,True,663.0,33.3
WS/MP18277/2024-2025/154152,AZAD KIRTI JHA,West Bengal,BARDHAMAN-DURGAPUR,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,998312.0,False,639.0,33.3
WS/MP632/2026-2027/142402,Anto Antony,Kerala,PATHANAMTHITTA,Lighting of public spaces,217800.0,True,50.0,33.3
WS/MP18079/2025-2026/148398,SAGAR ESHWAR KHANDRE,Karnataka,BIDAR,Lighting of public spaces,250000.0,True,439.0,33.2
